Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,0.3967865751668158,0.30107558377829874,1.2528088742903212
0.025,0.38522528700332215,0.29660363301176845,1.2403421936898797
0.05,0.37266066374561657,0.28817651468165667,1.2322090052659929
0.075,0.35690328011273115,0.27554750755688545,1.2267963748396384
0.1,0.33587798233481864,0.2623299734068296,1.2213382083788795
0.125,0.3153758734761871,0.24512359903554923,1.2195226953542975
0.15,0.29274303654011313,0.21979282325610597,1.2297210934196805
0.175,0.2618678088146118,0.1906694420347436,1.2460676935789308
0.2,0.23167841251598037,0.1721120168162336,1.239525283512139
0.225,0.20724661142337325,0.16312045053867189,1.2051382225508822
0.25,0.1839256954405409,0.15847736697193945,1.1738701835997187
0.275,0.16286775542606216,0.1564772183678397,1.1657880718405718
0.3,0.14500760653068956,0.15730775513686937,1.1751175974760317
0.325,0.1276148226899619,0.16604132129541688,1.190177780639301
0.35,0.10630458643380218,0.17926455441760458,1.19671725176602
0.375,0.08163148787568414,0.18917343102281936,1.1843484164480633
0.4,0.046447386438917077,0.197722524591843,1.1507827253719114
0.425,-0.008696697783833852,0.2098939292534486,1.1203260593373152
0.45,-0.07714828728215277,0.21175015712143996,1.1260923118644532
0.475,-0.14866115220105838,0.1951312916845019,1.1476369166531817
0.5,-0.219177049041435,0.17386549688814829,1.1518367436801875
0.525,-0.2904172977357807,0.1571830661057158,1.1664929128266557
0.55,-0.36174347901107,0.14274861554808024,1.2175379616999926
0.575,-0.43009133065117044,0.12702154985058892,1.2694061707970599
0.6,-0.4881361643767368,0.11500015788434646,1.2721452602359091
0.625,-0.5222290404291132,0.10215835813412961,1.210680093080085
0.65,-0.5096541650269901,0.0836910938165922,1.0978952185212987
0.675,-0.4509978646517265,0.06083972822600986,0.9314151769835944
0.7,-0.3625437231319696,0.03387577152872859,0.6849679857113007
0.725,-0.2714588794186758,-0.00588578771054123,0.38185437510776116
0.75,-0.19891452090768588,-0.0618721223383237,0.07113071046709472
0.775,-0.16880382758845527,-0.13811489812347694,-0.20141749393318062
0.8,-0.24423749667368413,-0.259841301996609,-0.3979918381767327
0.825,-0.46163968597642346,-0.4245708531487488,-0.5438097306447398
0.85,-0.8071984888645906,-0.6065992668995436,-0.7014796588516904
0.875,-1.2491631876880207,-0.7857258607270391,-0.922011382175431
0.9,-1.7424245822188622,-0.9329278340429704,-1.287848662782312
0.925,-2.270622185596666,-1.0561037208433222,-1.8810729228629548
0.95,-2.8360809530791533,-1.1807838086337448,-2.678414037308625
0.975,-3.409199132035178,-1.287971406971133,-3.5439134271234174
1.0,-3.958356321809294,-1.3467914921452602,-4.385000687229973
1.025,-4.469285040826842,-1.3824876099897245,-5.151374427957495
1.05,-4.909930490494153,-1.4303017239918367,-5.771904972745696
1.075,-5.258568376475614,-1.5340368444875765,-6.160172915035387
1.1,-5.510164050596505,-1.725661940610251,-6.252495454216879
1.125,-5.666985881907473,-1.989215412845211,-6.068761152353253
1.15,-5.7528015778316055,-2.286936997453474,-5.718551502906464
1.175,-5.801320335832621,-2.578346864286305,-5.337126341424759
1.2,-5.817901183355628,-2.825584438150711,-5.042782891640341
1.225,-5.769192660660174,-2.991701481913691,-4.879644269005843
1.25,-5.606200491256714,-3.078492971301281,-4.8412422564994575
1.275,-5.302087739278942,-3.1038618647765723,-4.8979438993554805
1.3,-4.869474168034863,-3.067514424487452,-5.024201282684438
1.325,-4.349250234738017,-2.9767122961084564,-5.217282145280795
1.35,-3.792433398798305,-2.85540844456312,-5.487222756884795
1.375,-3.243008282403853,-2.729897106514261,-5.806504809772103
1.4,-2.7330151523996076,-2.633209350322627,-6.111689494863223
1.425,-2.2642911090156375,-2.565338477004377,-6.3763068261123985
1.45,-1.806591010075011,-2.4917484641184697,-6.601786740205085
1.475,-1.306151154886578,-2.3954568425242377,-6.847890707057006
1.5,-0.7120974497077095,-2.271257762123294,-7.164468529535783
1.525,-0.07505005317720531,-2.1400238521875394,-7.483224433063044
1.55,0.5688654203636048,-2.0294763194031926,-7.740173567134577
1.575,1.246982651591135,-1.961457405849885,-7.936697728683911
1.6,1.943813050808564,-1.9698525532395679,-8.141842939229399
1.625,2.6107284321800392,-2.0686618216921526,-8.474922431086933
1.65,3.2119229351342065,-2.2522144555667922,-8.988893532468438
1.675,3.6713275471921687,-2.513840784298311,-9.603445649686067
1.7,3.85420475486282,-2.839350084084264,-10.190976099437721
1.725,3.6980468310637535,-3.205759412965441,-10.601807298190408
1.75,3.292857031558481,-3.5931085447913165,-10.639086203665961
1.775,2.778648499823346,-3.9646279183791147,-10.189215307855775
1.8,2.2535984983479795,-4.264323162685265,-9.332855240244712
1.825,1.733568083806073,-4.458716749354148,-8.33690311002594
1.85,1.180170109524279,-4.534353693610515,-7.55391048830107
1.875,0.5443312331584863,-4.50513561350102,-7.163878726417809
1.9,-0.2078396355165507,-4.43304067234872,-7.025058554451183
1.925,-1.0391271095337533,-4.361504816711822,-6.861463578306415
1.95,-1.867626352243186,-4.288146304908054,-6.449506943450275
1.975,-2.628573565430514,-4.216203857267219,-5.733509904029263
2.0,-3.292079096136444,-4.164627096573468,-4.835369654316241
2.025,-3.8879863407453654,-4.128628889581806,-3.927264894064424
2.05,-4.473575295859451,-4.080442661795094,-3.0987907345007972
2.075,-5.0805475330858325,-4.00528384868659,-2.407726658884738
2.1,-5.6671352254074465,-3.9026654443614386,-1.8876624579694747
2.125,-6.158374459794622,-3.7479957755109994,-1.5359372021650557
2.15,-6.541089383441542,-3.5007587522978287,-1.3601925845467375
2.175,-6.790401369605469,-3.1437493205903904,-1.34972294218518
2.2,-6.843329197192108,-2.722486944409517,-1.3802665975842001
2.225,-6.648797985471461,-2.263149571929777,-1.3783384747220477
2.25,-6.209337386845321,-1.7759502530683735,-1.4110486820374961
2.275,-5.667692815075501,-1.337404467398711,-1.5325070047366984
2.3,-5.1644080039324916,-0.9543425505367003,-1.8509099942740697
2.325,-4.701628111225418,-0.514814838765969,-2.4918612661701522
2.35,-4.218297622338472,0.030990899447650197,-3.3746693452335754
2.375,-3.646512322844655,0.5751668720709033,-4.277114290959532
2.4,-2.9659036008548396,0.916113679802412,-4.953499555735836
2.425,-2.2375857169733884,0.9283167171357667,-5.237190924370163
2.45,-1.5650438757537373,0.6346254554129038,-5.082925749394877
2.475,-1.1159949516869228,0.1718120296956364,-4.652017487777631
2.5,-1.0076777010008315,-0.2869233946990188,-4.327131377219195
2.525,-1.153012381815736,-0.5941391923610387,-4.395029061317583
2.55,-1.3855764327352837,-0.7116592029576625,-4.848984956718354
2.575,-1.6151842101194887,-0.7004548825492877,-5.546856940669317
2.6,-1.749866173312211,-0.6480931181370355,-6.349303268554515
2.625,-1.7020675530711242,-0.6323157007097133,-7.056700414971227
2.65,-1.4994536055139294,-0.7030119815248393,-7.523993032328107
2.675,-1.2551634921252717,-0.8770855894901297,-7.811624837030555
2.7,-1.0288791374717785,-1.1253092156260869,-8.071027845373457
2.725,-0.8040536690292894,-1.3901702370627598,-8.428045935317078
2.75,-0.5576660575362955,-1.6112985821999481,-8.93504246586836
2.775,-0.2730715758065167,-1.735108843200018,-9.577758900536573
2.8,0.08842789393670952,-1.7341528161950481,-10.277135550897212
2.825,0.5223771280770939,-1.6245359039723724,-10.921873544027186
2.85,0.9571583861125788,-1.456403889876049,-11.461079447164641
2.875,1.3591605716732007,-1.2859212182877253,-11.896889377971766
2.9,1.7270551030209293,-1.1805301458372686,-12.198612815837214
2.925,2.040472496002047,-1.1622503027795967,-12.376351315252546
2.95,2.2708381579484054,-1.205036254788356,-12.50303871797712
2.975,2.4141543169470445,-1.3113780612986092,-12.693610866708003
3.0,2.49789168047791,-1.4864655906974045,-13.008587068740926
3.025,2.5143236894012992,-1.6989119323343713,-13.367924402575296
3.05,2.4701755983495417,-1.877417979498717,-13.648035559136384
3.075,2.348211675536961,-2.0131839350887,-13.713770605334838
3.1,2.119830087390027,-2.1274307585061987,-13.576318406482862
3.125,1.8100875900104931,-2.220096311732387,-13.387161475248812
3.15,1.4043591958834876,-2.3203636255951716,-13.21412654677611
3.175,0.7264445473803232,-2.4780881862300697,-12.967298220614436
3.2,-0.31244474033891745,-2.7148609999354982,-12.400052027546339
3.225,-1.5117373465334474,-3.01682396938863,-11.279261662101511
3.25,-2.5900751316371657,-3.34628639071963,-9.682273997489535
3.275,-3.52105727322666,-3.6545590142321465,-7.902899784746259
3.3,-4.440288759430253,-3.912071571144445,-6.271081668309581
3.325,-5.426557624513445,-4.125740765350844,-5.083307593026537
3.35,-6.452641326865359,-4.307286908164842,-4.43198209981875
3.375,-7.46310229488846,-4.458460363852269,-4.164371486542103
3.4,-8.395361310597723,-4.594107246684598,-4.058491364071241
3.425,-9.201175307036808,-4.738149810930235,-4.032741764830956
3.45,-9.84837490122841,-4.910597258060057,-4.077006908592998
3.475,-10.317770330058718,-5.0937049734123265,-4.121040059748976
3.5,-10.641019022020501,-5.235521131817526,-4.135842397278098
3.525,-10.874413535262397,-5.285366394702509,-4.176967917110948
3.55,-11.030115458603287,-5.179263035334491,-4.327470601883032
3.575,-11.064213984775266,-4.857360565821173,-4.672941535143524
3.6,-10.875814187164943,-4.353363029045921,-5.207793634486971
3.625,-10.398268987533156,-3.7669418548748763,-5.795861974604782
3.65,-9.656833154957534,-3.1609540863905194,-6.281944805615447
3.675,-8.755086621344155,-2.5259028239281824,-6.694858172212497
3.7,-7.769281897491341,-1.7587178140363298,-7.171587010751395
3.725,-6.746185497432354,-0.791081553574233,-7.726676146152082
3.75,-5.719975644439038,0.2277233116158851,-8.261919086135233
3.775,-4.671904454591635,1.0468087060207751,-8.615322804417168
3.8,-3.6223360826320294,1.5194750083358968,-8.660287393640074
3.825,-2.682458227862119,1.6729915834945817,-8.461198020356075
3.85,-2.0038660113733937,1.6316975903670081,-8.259966205140346
3.875,-1.6961037634370661,1.5080801225707725,-8.293072380764011
3.9,-1.7346449096053533,1.3816789918023074,-8.643552840676529
3.925,-1.952036685324193,1.2841481219852247,-9.208367030472125
3.95,-2.1516954034614346,1.2010403773257328,-9.797048966542473
3.975,-2.2247808539233094,1.0953938931365255,-10.26612869673286
4.0,-2.1340447210980007,0.9216724058238573,-10.587729521196957
