Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-0.5120131050331056,-0.561280481401508,-0.9679085108391389
0.025,-0.4854275409581077,-0.5609596118137883,-0.9804958308603724
0.05,-0.454099737292655,-0.559065524333511,-1.0030223564957519
0.075,-0.4222819765979584,-0.5551306420923708,-1.0315146225832572
0.1,-0.3851757918946534,-0.5514905063004485,-1.0605939431614795
0.125,-0.34367577519135756,-0.5431298866429102,-1.0867565853738534
0.15,-0.2926004490868754,-0.5281474381249063,-1.1044198382820773
0.175,-0.22812831089106025,-0.5163868370614773,-1.1083487903756035
0.2,-0.16029143940553273,-0.5195640475603475,-1.0937461876652097
0.225,-0.0986883579054413,-0.5345490504419036,-1.0671906202484216
0.25,-0.04060870162689931,-0.5556432871092544,-1.0430713033777907
0.275,0.01563192680344501,-0.5809213380647775,-1.0248586897652363
0.3,0.07150992489930073,-0.6099991905755864,-1.0136791624563424
0.325,0.1309183621777391,-0.6423472174021532,-1.0138703232984068
0.35,0.19185427068031596,-0.6776860625495668,-1.0194823107558788
0.375,0.2455936593294531,-0.7144825305591997,-1.0289657086904873
0.4,0.3021033053992047,-0.752125485748735,-1.0499173431736613
0.425,0.3774805244410732,-0.7945188983792565,-1.0775684926670757
0.45,0.46402525438029923,-0.8384111131850654,-1.1036243167167556
0.475,0.5478363272285883,-0.8778990045305414,-1.1271875625873558
0.5,0.6300070547074402,-0.9141053396860467,-1.144099575202352
0.525,0.711727407332087,-0.9518154700051698,-1.1494981776505835
0.55,0.7848750696910113,-0.9902009325735603,-1.1410140095658914
0.575,0.845511775520146,-1.0256038320550709,-1.113688673400399
0.6,0.9007124305232188,-1.0547434918457892,-1.0630311148292064
0.625,0.9602811276881202,-1.07285176405165,-0.989038658343734
0.65,1.0257904191329914,-1.0767477460924517,-0.8955308072568815
0.675,1.0904100552343485,-1.06822518171028,-0.7888636035109667
0.7,1.1502748358438646,-1.0501584190868711,-0.6747139210122346
0.725,1.2105502584997958,-1.0216949934576687,-0.5617651661492543
0.75,1.2780471631350894,-0.9805795879128091,-0.45903440617478347
0.775,1.3623997112707127,-0.9289028640912242,-0.37270547509889335
0.8,1.4752783418839555,-0.8750201481194851,-0.31201019306929234
0.825,1.619334349804622,-0.825634708769259,-0.2889797300354234
0.85,1.7846301349010232,-0.7854410376935165,-0.3064879876328568
0.875,1.9519096641415126,-0.7582311476366547,-0.35079190280125866
0.9,2.0986461704338577,-0.7440865308366467,-0.409531794147352
0.925,2.2188624212165937,-0.7332269885631604,-0.47818891111021467
0.95,2.3591009405068926,-0.7101332281771231,-0.5431536680569349
0.975,2.5753042023551562,-0.6792069112084228,-0.590166507121652
1.0,2.8740059441289207,-0.6713882802028088,-0.5824944409495654
1.025,3.2131324083311097,-0.6917319456996205,-0.4922866415446914
1.05,3.551329511277898,-0.7177546168898399,-0.32532527276599355
1.075,3.8715032517052927,-0.7271204685933518,-0.10067373096381133
1.1,4.178981466029085,-0.711634810634835,0.15957451441211493
1.125,4.49673654640156,-0.6832673707736476,0.4336625468048795
1.15,4.843569334224476,-0.66324115356545,0.7105844160187942
1.175,5.2138746261283275,-0.6659247553066288,0.9836211182693221
1.2,5.580597835023665,-0.6900646059161089,1.2416955851684115
1.225,5.916542894151655,-0.7366899952593884,1.4907667871994552
1.25,6.20709878725719,-0.7916565162936909,1.738994390813564
1.275,6.44328225379739,-0.828398404568213,1.9792824224680012
1.3,6.618814280783189,-0.8336046175570321,2.2029959130505032
1.325,6.732390314610083,-0.8045173916817949,2.4033680298785716
1.35,6.789512930247719,-0.7431188694666232,2.5733013318643985
1.375,6.7981230591632045,-0.6508534793155077,2.697821656394036
1.4,6.7654271315723085,-0.5252142532708233,2.747380924326467
1.425,6.704152343626036,-0.3683728126700545,2.704602655762392
1.45,6.626078484567735,-0.18974377648763566,2.584867836542411
1.475,6.4897449665544675,-0.003447740532264281,2.4092292150004413
1.5,6.225951061844456,0.19450518396423452,2.163427364139206
1.525,5.856374742828416,0.4276790762940738,1.814215967811265
